instance,variant,node,start_kind,pool,cold_start_s,data_read_s,compute_s,data_write_s,read_mb,wrote_mb
1,scenario-01,step-16,warm,ondemand,0.000,0.0038,0.1450,0.0031,2.10,2.10
1,scenario-01,step-17,warm,ondemand,0.000,0.0045,0.1564,0.0040,2.10,2.10
2,scenario-03,step-0,cold,ondemand,1.562,0.0000,0.0770,0.0016,0.00,1.05
1,scenario-01,step-18,warm,ondemand,0.000,0.0033,0.1463,0.0031,2.10,2.10
2,scenario-03,step-1,warm,ondemand,0.000,0.0020,0.0725,0.0017,1.05,1.05
2,scenario-03,step-2,warm,ondemand,0.000,0.0018,0.0708,0.0017,1.05,1.05
1,scenario-01,step-19,warm,ondemand,0.000,0.0032,0.1494,0.0032,2.10,2.10
2,scenario-03,step-3,warm,ondemand,0.000,0.0020,0.0753,0.0017,1.05,1.05
2,scenario-03,step-4,warm,ondemand,0.000,0.0017,0.0720,0.0017,1.05,1.05
1,scenario-01,step-20,warm,ondemand,0.000,0.0032,0.1493,0.0034,2.10,2.10
2,scenario-03,step-5,warm,ondemand,0.000,0.0025,0.0721,0.0019,1.05,1.05
2,scenario-03,step-6,warm,ondemand,0.000,0.0018,0.0715,0.0020,1.05,1.05
1,scenario-01,step-21,warm,ondemand,0.000,0.0038,0.1476,0.0034,2.10,2.10
2,scenario-03,step-7,warm,ondemand,0.000,0.0020,0.0731,0.0016,1.05,1.05
2,scenario-03,step-8,warm,ondemand,0.000,0.0017,0.0730,0.0018,1.05,1.05
1,scenario-01,step-22,warm,ondemand,0.000,0.0032,0.1481,0.0035,2.10,2.10
2,scenario-03,step-9,warm,ondemand,0.000,0.0020,0.0743,0.0016,1.05,1.05
2,scenario-03,step-10,warm,ondemand,0.000,0.0018,0.0731,0.0016,1.05,1.05
1,scenario-01,step-23,warm,ondemand,0.000,0.0032,0.1473,0.0032,2.10,2.10
2,scenario-03,step-11,warm,ondemand,0.000,0.0017,0.0719,0.0017,1.05,1.05
2,scenario-03,step-12,warm,ondemand,0.000,0.0017,0.0739,0.0016,1.05,1.05
1,scenario-01,step-24,warm,ondemand,0.000,0.0033,0.1497,0.0031,2.10,2.10
2,scenario-03,step-13,warm,ondemand,0.000,0.0021,0.0726,0.0017,1.05,1.05
2,scenario-03,step-14,warm,ondemand,0.000,0.0017,0.0726,0.0017,1.05,1.05
1,scenario-01,step-25,warm,ondemand,0.000,0.0031,0.1505,0.0035,2.10,2.10
2,scenario-03,step-15,warm,ondemand,0.000,0.0019,0.0728,0.0019,1.05,1.05
2,scenario-03,step-16,warm,ondemand,0.000,0.0018,0.0716,0.0023,1.05,1.05
1,scenario-01,step-26,warm,ondemand,0.000,0.0032,0.1524,0.0048,2.10,2.10
2,scenario-03,step-17,warm,ondemand,0.000,0.0017,0.0722,0.0019,1.05,1.05
2,scenario-03,step-18,warm,ondemand,0.000,0.0018,0.0715,0.0032,1.05,1.05
2,scenario-03,step-19,warm,ondemand,0.000,0.0020,0.0755,0.0022,1.05,1.05
1,scenario-01,step-27,warm,ondemand,0.000,0.0032,0.2536,0.0135,2.10,6.29
2,scenario-03,step-20,warm,ondemand,0.000,0.0018,0.0729,0.0029,1.05,1.05
2,scenario-03,step-21,warm,ondemand,0.000,0.0019,0.0742,0.0029,1.05,1.05
2,scenario-03,step-22,warm,ondemand,0.000,0.0019,0.0737,0.0017,1.05,1.05
2,scenario-03,step-23,warm,ondemand,0.000,0.0019,0.0749,0.0019,1.05,1.05
2,scenario-03,step-24,warm,ondemand,0.000,0.0019,0.0751,0.0019,1.05,1.05
2,scenario-03,step-25,warm,ondemand,0.000,0.0016,0.0725,0.0028,1.05,1.05
1,scenario-01,step-28,warm,ondemand,0.000,0.0091,0.4805,0.0143,6.29,6.29
